Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
allhalf	5	1	h	afABaabh	5	d0m0	36	36	23	23	32	0	0	3.83333
allhalf	5	1	l	afABaabl	5	d0m0	40	40	27	27	38	0	0	3.43333
allhalf	5	1	n	afABaabn	5	d0m0	39	39	28	28	40	0	0	3.68333
allhalf	5	2	h	afABaach	5	d0m0	37	37	24	24	35	0	0	3.35000
allhalf	5	2	l	afABaacl	5	d0m0	37	37	25	25	35	0	0	3.46667
allhalf	5	2	n	afABaacn	5	d0m0	41	41	30	30	42	0	0	4.16667
allhalf	5	3	h	afABaadh	5	d0m0	40	40	25	25	36	0	0	3.08333
allhalf	5	3	l	afABaadl	5	d0m0	38	38	29	29	42	0	0	3.51667
allhalf	5	3	n	afABaadn	5	d0m0	38	38	20	20	29	0	0	3.65000
allhalf	5	4	h	afABaaeh	5	d0m0	38	38	23	23	33	0	0	3.83333
allhalf	5	4	l	afABaael	5	d0m0	39	39	24	24	35	0	0	3.43333
allhalf	5	4	n	afABaaen	5	d0m0	40	40	30	30	43	0	0	3.65000
allhalf	5	5	h	afABaafh	5	d0m0	38	38	20	20	28	0	0	2.95000
allhalf	5	5	l	afABaafl	5	d0m0	38	38	20	20	29	0	0	4.20000
allhalf	5	5	n	afABaafn	5	d0m0	40	40	28	28	40	0	0	3.43333
allpathalf	5	1	h	afACaabh	5	d0m0	40	40	24	24	35	0	0	3.96667
allpathalf	5	1	l	afACaabl	5	d0m0	37	37	26	26	37	0	0	4.05000
allpathalf	5	1	n	afACaabn	5	d0m0	41	41	30	30	42	0	0	3.55000
allpathalf	5	2	h	afACaach	5	d0m0	37	37	18	18	26	0	0	4.03333
allpathalf	5	2	l	afACaacl	5	d0m0	41	41	34	34	47	0	0	3.66667
allpathalf	5	2	n	afACaacn	5	d0m0	43	43	32	32	45	0	0	3.58333
allpathalf	5	3	h	afACaadh	5	d0m0	38	38	29	29	40	0	0	3.53333
allpathalf	5	3	l	afACaadl	5	d0m0	39	39	17	17	25	0	0	4.48333
allpathalf	5	3	n	afACaadn	5	d0m0	40	40	24	24	33	0	0	4.35000
allpathalf	5	4	h	afACaaeh	5	d0m0	43	43	29	29	41	0	0	3.35000
allpathalf	5	4	l	afACaael	5	d0m0	39	39	29	29	41	0	0	3.81667
allpathalf	5	4	n	afACaaen	5	d0m0	42	42	33	33	45	0	0	3.78333
allpathalf	5	5	h	afACaafh	5	d0m0	37	37	26	26	37	0	0	3.15000
allpathalf	5	5	l	afACaafl	5	d0m0	33	33	20	20	29	0	0	4.30000
allpathalf	5	5	n	afACaafn	5	d0m0	39	39	24	24	35	0	0	3.63333
nosibs	5	1	h	afAEaabh	5	d0m0	38	38	24	24	33	0	0	3.55000
nosibs	5	1	l	afAEaabl	5	d0m0	40	40	26	26	38	0	0	3.60000
nosibs	5	1	n	afAEaabn	5	d0m0	43	43	30	30	42	0	0	2.70000
nosibs	5	2	h	afAEaach	5	d0m0	37	37	25	25	36	0	0	3.70000
nosibs	5	2	l	afAEaacl	5	d0m0	38	38	24	24	33	0	0	3.55000
nosibs	5	2	n	afAEaacn	5	d0m0	36	36	24	24	34	0	0	3.71667
nosibs	5	3	h	afAEaadh	5	d0m0	37	37	27	27	38	0	0	3.25000
nosibs	5	3	l	afAEaadl	5	d0m0	37	37	27	27	39	0	0	3.28333
nosibs	5	3	n	afAEaadn	5	d0m0	38	38	25	25	36	0	0	3.58333
nosibs	5	4	h	afAEaaeh	5	d0m0	38	38	30	30	43	0	0	3.31667
nosibs	5	4	l	afAEaael	5	d0m0	37	37	21	21	28	0	0	3.51667
nosibs	5	4	n	afAEaaen	5	d0m0	38	38	24	24	34	0	0	3.96667
nosibs	5	5	h	afAEaafh	5	d0m0	39	39	29	29	42	0	0	4.41667
nosibs	5	5	l	afAEaafl	5	d0m0	40	40	29	29	41	0	0	3.90000
nosibs	5	5	n	afAEaafn	5	d0m0	40	40	27	27	38	0	0	3.60000
onelarge_noh	5	1	h	afAFaabh	5	d0m0	35	35	27	27	46	0	0	3.66667
onelarge_noh	5	1	l	afAFaabl	5	d0m0	35	35	29	29	48	0	0	3.51667
onelarge_noh	5	1	n	afAFaabn	5	d0m0	23	23	11	11	46	0	0	3.15000
onelarge_noh	5	2	h	afAFaach	5	d0m0	38	38	30	30	46	0	0	3.83333
onelarge_noh	5	2	l	afAFaacl	5	d0m0	44	44	37	37	53	0	0	3.11667
onelarge_noh	5	2	n	afAFaacn	5	d0m0	43	43	32	32	46	0	0	3.80000
onelarge_noh	5	3	h	afAFaadh	5	d0m0	36	36	25	25	39	0	0	3.65000
onelarge_noh	5	3	l	afAFaadl	5	d0m0	34	34	24	24	46	0	0	3.18333
onelarge_noh	5	3	n	afAFaadn	5	d0m0	34	34	26	26	53	0	0	3.66667
