Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
akABaabh	5	32	32	9	9	13	0	0	OldColony	allhalf	10	1	h	d.02m.02
akABaabl	5	30	30	12	12	18	0	0	OldColony	allhalf	10	1	l	d.02m.02
akABaabn	5	33	33	15	15	22	0	0	OldColony	allhalf	10	1	n	d.02m.02
akABaach	5	32	32	15	15	22	0	0	OldColony	allhalf	10	2	h	d.02m.02
akABaacl	5	34	34	20	20	29	0	0	OldColony	allhalf	10	2	l	d.02m.02
akABaacn	5	32	32	16	16	23	0	0	OldColony	allhalf	10	2	n	d.02m.02
akABaadh	5	29	29	11	11	16	0	0	OldColony	allhalf	10	3	h	d.02m.02
akABaadl	5	23	23	6	6	9	0	0	OldColony	allhalf	10	3	l	d.02m.02
akABaadn	5	30	30	13	13	18	0	0	OldColony	allhalf	10	3	n	d.02m.02
akABaaeh	5	29	29	9	9	13	0	0	OldColony	allhalf	10	4	h	d.02m.02
akABaael	5	35	35	16	16	23	0	0	OldColony	allhalf	10	4	l	d.02m.02
akABaaen	5	31	31	12	12	18	0	0	OldColony	allhalf	10	4	n	d.02m.02
akABaafh	5	30	30	14	14	21	0	0	OldColony	allhalf	10	5	h	d.02m.02
akABaafl	5	30	30	12	12	18	0	0	OldColony	allhalf	10	5	l	d.02m.02
akABaafn	5	32	32	19	19	28	0	0	OldColony	allhalf	10	5	n	d.02m.02
akABaagh	5	31	31	18	18	25	0	0	OldColony	allhalf	10	6	h	d.02m.02
akABaagl	5	32	32	15	15	22	0	0	OldColony	allhalf	10	6	l	d.02m.02
akABaagn	5	36	36	23	23	33	0	0	OldColony	allhalf	10	6	n	d.02m.02
akABaahh	5	30	30	15	15	22	0	0	OldColony	allhalf	10	7	h	d.02m.02
akABaahl	5	30	30	13	13	19	0	0	OldColony	allhalf	10	7	l	d.02m.02
akABaahn	5	33	33	12	12	17	0	0	OldColony	allhalf	10	7	n	d.02m.02
akABaaih	5	30	30	16	16	24	0	0	OldColony	allhalf	10	8	h	d.02m.02
akABaail	5	32	32	14	14	21	0	0	OldColony	allhalf	10	8	l	d.02m.02
akABaain	5	29	29	16	16	24	0	0	OldColony	allhalf	10	8	n	d.02m.02
akABaajh	5	26	26	14	14	21	0	0	OldColony	allhalf	10	9	h	d.02m.02
akABaajl	5	30	30	18	18	27	0	0	OldColony	allhalf	10	9	l	d.02m.02
akABaajn	5	32	32	12	12	18	0	0	OldColony	allhalf	10	9	n	d.02m.02
akABaakh	5	29	29	11	11	16	0	0	OldColony	allhalf	10	10	h	d.02m.02
akABaakl	5	31	31	11	11	16	0	0	OldColony	allhalf	10	10	l	d.02m.02
akABaakn	5	33	33	16	16	23	0	0	OldColony	allhalf	10	10	n	d.02m.02
