Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	real.time.secs	user.time.secs
allhalf	5	1	h	afABaabh	5	19	19	12	12	16	0	0	0.16	0.16
allhalf	5	1	l	afABaabl	5	20	20	16	16	22	0	0	0.16	0.15
allhalf	5	1	n	afABaabn	5	19	19	16	16	22	0	0	0.16	0.15
allhalf	5	2	h	afABaach	5	20	20	14	14	20	0	0	0.16	0.15
allhalf	5	2	l	afABaacl	5	21	21	15	15	21	0	0	0.16	0.15
allhalf	5	2	n	afABaacn	5	22	22	15	15	21	0	0	0.16	0.15
allhalf	5	3	h	afABaadh	5	13	13	2	2	3	0	0	0.16	0.15
allhalf	5	3	l	afABaadl	5	18	18	6	6	9	0	0	0.16	0.15
allhalf	5	3	n	afABaadn	5	23	23	12	12	18	0	0	0.16	0.15
allhalf	5	4	h	afABaaeh	5	24	24	21	21	28	0	0	0.16	0.15
allhalf	5	4	l	afABaael	5	21	21	15	15	18	0	0	0.16	0.15
allhalf	5	4	n	afABaaen	5	22	22	17	17	21	0	0	0.16	0.15
allhalf	5	5	h	afABaafh	5	19	19	14	14	20	0	0	0.16	0.15
allhalf	5	5	l	afABaafl	5	18	18	10	10	14	0	0	0.16	0.15
allhalf	5	5	n	afABaafn	5	19	19	14	14	20	0	0	0.16	0.15
allhalf	5	6	h	afABaagh	5	17	17	9	9	12	0	0	0.16	0.15
allhalf	5	6	l	afABaagl	5	19	19	6	6	8	0	0	0.16	0.15
allhalf	5	6	n	afABaagn	5	20	20	8	8	11	0	0	0.16	0.15
allhalf	5	7	h	afABaahh	5	12	12	5	5	7	0	0	0.16	0.15
allhalf	5	7	l	afABaahl	5	14	14	6	6	8	0	0	0.16	0.15
allhalf	5	7	n	afABaahn	5	17	17	9	9	12	0	0	0.16	0.15
allhalf	5	8	h	afABaaih	5	13	13	8	8	11	0	0	0.16	0.15
allhalf	5	8	l	afABaail	5	17	17	11	11	16	0	0	0.16	0.15
allhalf	5	8	n	afABaain	5	21	21	13	13	17	0	0	0.16	0.15
allhalf	5	9	h	afABaajh	5	12	12	4	4	6	0	0	0.16	0.15
allhalf	5	9	l	afABaajl	5	15	15	7	7	10	0	0	0.16	0.15
allhalf	5	9	n	afABaajn	5	14	14	7	7	10	0	0	0.16	0.16
allhalf	5	10	h	afABaakh	5	12	12	8	8	11	0	0	0.16	0.15
allhalf	5	10	l	afABaakl	5	11	11	7	7	10	0	0	0.16	0.15
allhalf	5	10	n	afABaakn	5	16	16	12	12	16	0	0	0.16	0.16
allhalf	5	11	h	afABaalh	5	12	12	5	5	7	0	0	0.16	0.16
allhalf	5	11	l	afABaall	5	11	11	6	6	9	0	0	0.16	0.15
allhalf	5	11	n	afABaaln	5	12	12	7	7	10	0	0	0.16	0.16
allhalf	5	12	h	afABaamh	5	14	14	5	5	7	0	0	0.16	0.15
allhalf	5	12	l	afABaaml	5	15	15	8	8	11	0	0	0.16	0.15
allhalf	5	12	n	afABaamn	5	17	17	10	10	14	0	0	0.16	0.15
allhalf	5	13	h	afABaanh	5	21	21	14	14	19	0	0	0.16	0.15
