Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed
allhalf	5	1	h	afABaabh	10	50	50	38	38	51	0	0
allhalf	5	1	l	afABaabl	10	49	49	36	36	49	0	0
allhalf	5	1	n	afABaabn	10	54	54	46	46	59	0	0
allhalf	5	2	h	afABaach	10	46	46	28	28	39	0	0
allhalf	5	2	l	afABaacl	10	47	47	30	30	41	0	0
allhalf	5	2	n	afABaacn	10	48	48	34	34	47	0	0
allhalf	5	3	h	afABaadh	10	49	49	35	35	47	0	0
allhalf	5	3	l	afABaadl	10	47	47	32	32	45	0	0
allhalf	5	3	n	afABaadn	10	52	52	46	46	63	0	0
allhalf	5	4	h	afABaaeh	10	46	46	28	28	39	0	0
allhalf	5	4	l	afABaael	10	48	48	34	34	47	0	0
allhalf	5	4	n	afABaaen	10	49	49	35	35	47	0	0
allhalf	5	5	h	afABaafh	10	46	46	28	28	39	0	0
allhalf	5	5	l	afABaafl	10	51	51	39	39	51	0	0
allhalf	5	5	n	afABaafn	10	48	48	34	34	47	0	0
allhalf	5	6	h	afABaagh	10	45	45	25	25	35	0	0
allhalf	5	6	l	afABaagl	10	51	51	43	43	59	0	0
allhalf	5	6	n	afABaagn	10	52	52	46	46	63	0	0
allhalf	5	7	h	afABaahh	10	49	49	36	36	49	0	0
allhalf	5	7	l	afABaahl	10	52	52	43	43	57	0	0
allhalf	5	7	n	afABaahn	10	51	51	41	41	55	0	0
allhalf	5	8	h	afABaaih	10	46	46	26	26	35	0	0
allhalf	5	8	l	afABaail	10	49	49	35	35	47	0	0
allhalf	5	8	n	afABaain	10	50	50	39	39	53	0	0
allhalf	5	9	h	afABaajh	10	43	43	18	18	25	0	0
allhalf	5	9	l	afABaajl	10	50	50	38	38	51	0	0
allhalf	5	9	n	afABaajn	10	49	49	38	38	53	0	0
allhalf	5	10	h	afABaakh	10	45	45	26	26	37	0	0
allhalf	5	10	l	afABaakl	10	49	49	36	36	49	0	0
allhalf	5	10	n	afABaakn	10	51	51	41	41	55	0	0
allpathalf	5	1	h	afACaabh	10	43	43	17	17	23	0	0
allpathalf	5	1	l	afACaabl	10	45	45	24	24	33	0	0
allpathalf	5	1	n	afACaabn	10	49	49	35	35	47	0	0
allpathalf	5	2	h	afACaach	10	48	48	33	33	45	0	0
allpathalf	5	2	l	afACaacl	10	50	50	35	35	45	0	0
allpathalf	5	2	n	afACaacn	10	45	45	28	28	41	0	0
allpathalf	5	3	h	afACaadh	10	48	48	33	33	45	0	0
allpathalf	5	3	l	afACaadl	10	48	48	36	36	51	0	0
allpathalf	5	3	n	afACaadn	10	48	48	34	34	47	0	0
allpathalf	5	4	h	afACaaeh	10	50	50	35	35	45	0	0
allpathalf	5	4	l	afACaael	10	47	47	30	30	41	0	0
allpathalf	5	4	n	afACaaen	10	51	51	38	38	49	0	0
allpathalf	5	5	h	afACaafh	10	47	47	31	31	43	0	0
allpathalf	5	5	l	afACaafl	10	45	45	25	25	35	0	0
allpathalf	5	5	n	afACaafn	10	48	48	33	33	45	0	0
