Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Seconds
allhalf	5	1	h	afABaabh	10	6	75	6	75	75	75	75	NA
allhalf	5	1	l	afABaabl	10	9	75	9	75	75	75	75	93
allhalf	5	1	n	afABaabn	10	12	75	12	75	75	75	75	99
allhalf	5	2	h	afABaach	10	3	75	3	75	75	75	75	107
allhalf	5	2	l	afABaacl	10	6	75	6	75	75	75	75	110
allhalf	5	2	n	afABaacn	10	6	75	6	75	75	75	75	112
allhalf	5	3	h	afABaadh	10	52	52	52	52	75	0	0	112
allhalf	5	3	l	afABaadl	10	52	52	52	52	75	1	1	113
allhalf	5	3	n	afABaadn	10	6	75	6	75	75	75	75	118
allhalf	5	4	h	afABaaeh	10	0	75	0	75	75	75	75	123
allhalf	5	4	l	afABaael	10	6	75	6	75	75	75	75	125
allhalf	5	4	n	afABaaen	10	6	75	6	75	75	75	75	125
allhalf	5	5	h	afABaafh	10	6	75	6	75	75	75	75	125
allhalf	5	5	l	afABaafl	10	52	52	52	52	75	2	2	124
allhalf	5	5	n	afABaafn	10	6	75	6	75	75	75	75	130
allhalf	5	6	h	afABaagh	10	7	75	7	75	75	75	75	131
allhalf	5	6	l	afABaagl	10	9	75	9	75	75	75	75	134
allhalf	5	6	n	afABaagn	10	12	75	12	75	75	75	75	138
allhalf	5	7	h	afABaahh	10	3	75	3	75	75	75	75	140
allhalf	5	7	l	afABaahl	10	6	75	6	75	75	75	75	142
allhalf	5	7	n	afABaahn	10	6	75	6	75	75	75	75	144
allhalf	5	8	h	afABaaih	10	51	51	51	51	75	2	2	153
allhalf	5	8	l	afABaail	10	6	75	6	75	75	75	75	155
allhalf	5	8	n	afABaain	10	0	75	0	75	75	75	75	155
allhalf	5	9	h	afABaajh	10	2	75	2	75	75	75	75	153
allhalf	5	9	l	afABaajl	10	4	75	4	75	75	75	75	154
allhalf	5	9	n	afABaajn	10	0	75	0	75	75	75	75	157
allhalf	5	10	h	afABaakh	10	4	75	4	75	75	75	75	155
allhalf	5	10	l	afABaakl	10	6	75	6	75	75	75	75	157
allhalf	5	10	n	afABaakn	10	0	75	0	75	75	75	75	187
allhalf	5	11	h	afABaalh	10	4	75	4	75	75	75	75	163
allhalf	5	11	l	afABaall	10	0	75	0	75	75	75	75	174
allhalf	5	11	n	afABaaln	10	5	75	5	75	75	75	75	175
allhalf	5	12	h	afABaamh	10	51	51	50	51	73	1	1	176
allhalf	5	12	l	afABaaml	10	51	51	50	51	74	1	1	176
allhalf	5	12	n	afABaamn	10	52	52	52	52	75	0	0	175
allhalf	5	13	h	afABaanh	10	51	51	51	51	75	0	0	175
allhalf	5	13	l	afABaanl	10	6	75	6	75	75	75	75	176
allhalf	5	13	n	afABaann	10	0	75	0	75	75	75	75	177
allhalf	5	14	h	afABaaoh	10	7	75	7	75	75	75	75	177
allhalf	5	14	l	afABaaol	10	6	75	6	75	75	75	75	179
allhalf	5	14	n	afABaaon	10	6	75	6	75	75	75	75	181
allhalf	5	15	h	afABaaph	10	4	75	4	75	75	75	75	183
allhalf	5	15	l	afABaapl	10	7	75	7	75	75	75	75	183
allhalf	5	15	n	afABaapn	10	0	75	0	75	75	75	75	198
allhalf	5	16	h	afABaaqh	10	5	75	5	75	75	75	75	198
allhalf	5	16	l	afABaaql	10	5	75	5	75	75	75	75	200
allhalf	5	16	n	afABaaqn	10	0	75	0	75	75	75	75	201
allhalf	5	17	h	afABaarh	10	4	75	4	75	75	75	75	201
allhalf	5	17	l	afABaarl	10	9	75	9	75	75	75	75	204
allhalf	5	17	n	afABaarn	10	5	75	5	75	75	75	75	206
allhalf	5	18	h	afABaash	10	52	52	50	52	71	1	1	208
allhalf	5	18	l	afABaasl	10	53	53	53	53	75	1	1	208
allhalf	5	18	n	afABaasn	10	53	53	53	53	75	1	1	212
allhalf	5	19	h	afABaath	10	52	52	51	51	73	0	0	215
allhalf	5	19	l	afABaatl	10	9	75	9	75	75	75	75	218
allhalf	5	19	n	afABaatn	10	12	75	12	75	75	75	75	224
allhalf	5	20	h	afABaauh	10	4	75	4	75	75	75	75	226
allhalf	5	20	l	afABaaul	10	0	75	0	75	75	75	75	226
allhalf	5	20	n	afABaaun	10	6	75	6	75	75	75	75	227
allhalf	5	21	h	afABaavh	10	4	75	4	75	75	75	75	238
allhalf	5	21	l	afABaavl	10	9	75	9	75	75	75	75	239
allhalf	5	21	n	afABaavn	10	0	75	0	75	75	75	75	241
allhalf	5	22	h	afABaawh	10	7	75	7	75	75	75	75	241
allhalf	5	22	l	afABaawl	10	6	75	6	75	75	75	75	244
allhalf	5	22	n	afABaawn	10	8	75	8	75	75	75	75	248
allhalf	5	23	h	afABaaxh	10	7	75	7	75	75	75	75	250
allhalf	5	23	l	afABaaxl	10	8	75	8	75	75	75	75	254
allhalf	5	23	n	afABaaxn	10	0	75	0	75	75	75	75	254
allhalf	5	24	h	afABaayh	10	5	75	5	75	75	75	75	255
allhalf	5	24	l	afABaayl	10	8	75	8	75	75	75	75	257
allhalf	5	24	n	afABaayn	10	0	75	0	75	75	75	75	259
allhalf	5	25	h	afABaazh	10	5	75	5	75	75	75	75	260
allhalf	5	25	l	afABaazl	10	8	75	8	75	75	75	75	262
allhalf	5	25	n	afABaazn	10	54	54	53	53	73	0	0	266
allhalf	5	26	h	afABabah	10	51	51	49	49	71	0	0	266
allhalf	5	26	l	afABabal	10	52	52	52	52	75	1	1	265
allhalf	5	26	n	afABaban	10	52	52	51	52	73	1	1	266
allhalf	5	27	h	afABabbh	10	53	53	52	53	73	3	3	265
allhalf	5	27	l	afABabbl	10	12	75	12	75	75	75	75	268
allhalf	5	27	n	afABabbn	10	12	75	12	75	75	75	75	273
allhalf	5	28	h	afABabch	10	4	75	4	75	75	75	75	276
allhalf	5	28	l	afABabcl	10	6	75	6	75	75	75	75	280
allhalf	5	28	n	afABabcn	10	9	75	9	75	75	75	75	285
allhalf	5	29	h	afABabdh	10	4	75	4	75	75	75	75	287
allhalf	5	29	l	afABabdl	10	6	75	6	75	75	75	75	280
allhalf	5	29	n	afABabdn	10	9	75	9	75	75	75	75	283
allhalf	5	30	h	afABabeh	10	0	75	0	75	75	75	75	284
allhalf	5	30	l	afABabel	10	5	75	5	75	75	75	75	284
allhalf	5	30	n	afABaben	10	8	75	8	75	75	75	75	289
allhalf	5	31	h	afABabfh	10	9	75	9	75	75	75	75	291
allhalf	5	31	l	afABabfl	10	11	75	11	75	75	75	75	297
allhalf	5	31	n	afABabfn	10	12	75	12	75	75	75	75	299
allhalf	5	32	h	afABabgh	10	6	75	6	75	75	75	75	300
allhalf	5	32	l	afABabgl	10	0	75	0	75	75	75	75	301
allhalf	5	32	n	afABabgn	10	5	75	5	75	75	75	75	301
allhalf	5	33	h	afABabhh	10	6	75	6	75	75	75	75	301
allhalf	5	33	l	afABabhl	10	8	75	8	75	75	75	75	305
allhalf	5	33	n	afABabhn	10	0	75	0	75	75	75	75	308
allhalf	5	34	h	afABabih	10	4	75	4	75	75	75	75	309
allhalf	5	34	l	afABabil	10	7	75	7	75	75	75	75	309
allhalf	5	34	n	afABabin	10	9	75	9	75	75	75	75	312
allhalf	5	35	h	afABabjh	10	3	75	3	75	75	75	75	313
allhalf	5	35	l	afABabjl	10	7	75	7	75	75	75	75	313
allhalf	5	35	n	afABabjn	10	53	53	53	53	75	1	1	317
allhalf	5	36	h	afABabkh	10	52	52	51	52	74	1	1	318
allhalf	5	36	l	afABabkl	10	53	53	53	53	75	1	1	322
allhalf	5	36	n	afABabkn	10	53	53	52	53	74	2	2	325
allhalf	5	37	h	afABablh	10	0	75	0	75	75	75	75	335
allhalf	5	37	l	afABabll	10	6	75	6	75	75	75	75	335
allhalf	5	37	n	afABabln	10	6	75	6	75	75	75	75	336
allhalf	5	38	h	afABabmh	10	6	75	6	75	75	75	75	337
allhalf	5	38	l	afABabml	10	8	75	8	75	75	75	75	339
allhalf	5	38	n	afABabmn	10	0	75	0	75	75	75	75	343
allhalf	5	39	h	afABabnh	10	5	75	5	75	75	75	75	341
allhalf	5	39	l	afABabnl	10	8	75	8	75	75	75	75	343
allhalf	5	39	n	afABabnn	10	0	75	0	75	75	75	75	345
allhalf	5	40	h	afABaboh	10	3	75	3	75	75	75	75	343
allhalf	5	40	l	afABabol	10	6	75	6	75	75	75	75	344
allhalf	5	40	n	afABabon	10	6	75	6	75	75	75	75	345
allhalf	5	41	h	afABabph	10	0	75	0	75	75	75	75	345
allhalf	5	41	l	afABabpl	10	5	75	5	75	75	75	75	344
allhalf	5	41	n	afABabpn	10	6	75	6	75	75	75	75	346
allhalf	5	42	h	afABabqh	10	4	75	4	75	75	75	75	348
allhalf	5	42	l	afABabql	10	0	75	0	75	75	75	75	350
allhalf	5	42	n	afABabqn	10	7	75	7	75	75	75	75	349
