Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afABaabh	10	21	21	7	7	10	0	0	ColonyNewVersion	allhalf	5	1	h	d.02m.02
afABaabl	10	16	16	6	6	9	0	0	ColonyNewVersion	allhalf	5	1	l	d.02m.02
afABaabn	10	23	23	4	4	6	0	0	ColonyNewVersion	allhalf	5	1	n	d.02m.02
afABaach	10	17	17	4	4	6	0	0	ColonyNewVersion	allhalf	5	2	h	d.02m.02
afABaacl	10	16	16	6	6	9	0	0	ColonyNewVersion	allhalf	5	2	l	d.02m.02
afABaacn	10	17	17	6	6	9	0	0	ColonyNewVersion	allhalf	5	2	n	d.02m.02
afABaadh	10	15	15	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	3	h	d.02m.02
afABaadl	10	14	14	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	3	l	d.02m.02
afABaadn	10	16	16	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	3	n	d.02m.02
afABaaeh	10	19	19	6	6	9	0	0	ColonyNewVersion	allhalf	5	4	h	d.02m.02
afABaael	10	17	17	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	4	l	d.02m.02
afABaaen	10	11	11	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	4	n	d.02m.02
afABaafh	10	20	20	2	2	3	0	0	ColonyNewVersion	allhalf	5	5	h	d.02m.02
afABaafl	10	12	12	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	5	l	d.02m.02
afABaafn	10	17	17	4	4	6	0	0	ColonyNewVersion	allhalf	5	5	n	d.02m.02
afABaagh	10	18	18	4	4	6	0	0	ColonyNewVersion	allhalf	5	6	h	d.02m.02
afABaagl	10	15	15	2	2	3	0	0	ColonyNewVersion	allhalf	5	6	l	d.02m.02
afABaagn	10	16	16	2	2	3	0	0	ColonyNewVersion	allhalf	5	6	n	d.02m.02
afABaahh	10	16	16	2	2	3	0	0	ColonyNewVersion	allhalf	5	7	h	d.02m.02
afABaahl	10	18	18	2	2	3	0	0	ColonyNewVersion	allhalf	5	7	l	d.02m.02
afABaahn	10	19	19	2	2	3	0	0	ColonyNewVersion	allhalf	5	7	n	d.02m.02
afABaaih	10	14	14	4	4	6	0	0	ColonyNewVersion	allhalf	5	8	h	d.02m.02
afABaail	10	24	24	6	6	9	0	0	ColonyNewVersion	allhalf	5	8	l	d.02m.02
afABaain	10	23	23	6	6	9	0	0	ColonyNewVersion	allhalf	5	8	n	d.02m.02
afABaajh	10	13	13	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	9	h	d.02m.02
afABaajl	10	16	16	2	2	3	0	0	ColonyNewVersion	allhalf	5	9	l	d.02m.02
afABaajn	10	19	19	6	6	9	0	0	ColonyNewVersion	allhalf	5	9	n	d.02m.02
afABaakh	10	17	17	2	2	3	0	0	ColonyNewVersion	allhalf	5	10	h	d.02m.02
afABaakl	10	18	18	2	2	3	0	0	ColonyNewVersion	allhalf	5	10	l	d.02m.02
afABaakn	10	18	18	2	2	3	0	0	ColonyNewVersion	allhalf	5	10	n	d.02m.02
afABaalh	10	18	18	4	4	6	0	0	ColonyNewVersion	allhalf	5	11	h	d.02m.02
afABaall	10	15	15	2	2	3	0	0	ColonyNewVersion	allhalf	5	11	l	d.02m.02
afABaaln	10	15	15	4	4	6	0	0	ColonyNewVersion	allhalf	5	11	n	d.02m.02
afABaamh	10	19	19	4	4	6	0	0	ColonyNewVersion	allhalf	5	12	h	d.02m.02
afABaaml	10	10	10	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	12	l	d.02m.02
afABaamn	10	16	16	2	2	3	0	0	ColonyNewVersion	allhalf	5	12	n	d.02m.02
afABaanh	10	14	14	4	4	6	0	0	ColonyNewVersion	allhalf	5	13	h	d.02m.02
afABaanl	10	14	14	2	2	3	0	0	ColonyNewVersion	allhalf	5	13	l	d.02m.02
afABaann	10	19	19	NA	NA	0	0	0	ColonyNewVersion	allhalf	5	13	n	d.02m.02
afABaaoh	10	16	16	6	6	9	0	0	ColonyNewVersion	allhalf	5	14	h	d.02m.02
afABaaol	10	24	24	10	10	15	0	0	ColonyNewVersion	allhalf	5	14	l	d.02m.02
afABaaon	10	23	23	4	4	6	0	0	ColonyNewVersion	allhalf	5	14	n	d.02m.02
afABaaph	10	13	13	4	4	6	0	0	ColonyNewVersion	allhalf	5	15	h	d.02m.02
afABaapl	10	14	14	3	3	4	0	0	ColonyNewVersion	allhalf	5	15	l	d.02m.02
afABaapn	10	18	18	5	5	7	0	0	ColonyNewVersion	allhalf	5	15	n	d.02m.02
afACaabh	10	16	16	2	2	3	0	0	ColonyNewVersion	allpathalf	5	1	h	d.02m.02
afACaabl	10	16	16	2	2	3	0	0	ColonyNewVersion	allpathalf	5	1	l	d.02m.02
afACaabn	10	17	17	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	1	n	d.02m.02
afACaach	10	18	18	4	4	6	0	0	ColonyNewVersion	allpathalf	5	2	h	d.02m.02
afACaacl	10	18	18	2	2	3	0	0	ColonyNewVersion	allpathalf	5	2	l	d.02m.02
