Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afABaabh	10	34	34	18	18	24	0	0	ColonyNewVersionPairwise	allhalf	5	1	h	d.02m.02
afABaabl	10	34	34	23	23	34	0	0	ColonyNewVersionPairwise	allhalf	5	1	l	d.02m.02
afABaabn	10	35	35	22	22	32	0	0	ColonyNewVersionPairwise	allhalf	5	1	n	d.02m.02
afABaach	10	34	34	22	22	31	0	0	ColonyNewVersionPairwise	allhalf	5	2	h	d.02m.02
afABaacl	10	36	36	23	23	32	0	0	ColonyNewVersionPairwise	allhalf	5	2	l	d.02m.02
afABaacn	10	38	38	24	24	34	0	0	ColonyNewVersionPairwise	allhalf	5	2	n	d.02m.02
afABaadh	10	34	34	21	21	30	0	0	ColonyNewVersionPairwise	allhalf	5	3	h	d.02m.02
afABaadl	10	32	32	19	19	28	0	0	ColonyNewVersionPairwise	allhalf	5	3	l	d.02m.02
afABaadn	10	36	36	16	16	23	0	0	ColonyNewVersionPairwise	allhalf	5	3	n	d.02m.02
afABaaeh	10	33	33	18	18	25	0	0	ColonyNewVersionPairwise	allhalf	5	4	h	d.02m.02
afABaael	10	35	35	21	21	29	0	0	ColonyNewVersionPairwise	allhalf	5	4	l	d.02m.02
afABaaen	10	37	37	20	20	27	0	0	ColonyNewVersionPairwise	allhalf	5	4	n	d.02m.02
afABaafh	10	30	30	21	21	30	0	0	ColonyNewVersionPairwise	allhalf	5	5	h	d.02m.02
afABaafl	10	36	36	20	20	29	0	0	ColonyNewVersionPairwise	allhalf	5	5	l	d.02m.02
afABaafn	10	33	33	17	17	24	0	0	ColonyNewVersionPairwise	allhalf	5	5	n	d.02m.02
afABaagh	10	37	37	24	24	33	0	0	ColonyNewVersionPairwise	allhalf	5	6	h	d.02m.02
afABaagl	10	35	35	26	26	36	0	0	ColonyNewVersionPairwise	allhalf	5	6	l	d.02m.02
afABaagn	10	37	37	26	26	37	0	0	ColonyNewVersionPairwise	allhalf	5	6	n	d.02m.02
afABaahh	10	35	35	22	22	32	0	0	ColonyNewVersionPairwise	allhalf	5	7	h	d.02m.02
afABaahl	10	33	33	11	11	16	0	0	ColonyNewVersionPairwise	allhalf	5	7	l	d.02m.02
afABaahn	10	36	36	19	19	27	0	0	ColonyNewVersionPairwise	allhalf	5	7	n	d.02m.02
afABaaih	10	35	35	24	24	33	0	0	ColonyNewVersionPairwise	allhalf	5	8	h	d.02m.02
afABaail	10	35	35	20	20	27	0	0	ColonyNewVersionPairwise	allhalf	5	8	l	d.02m.02
afABaain	10	33	33	19	19	26	0	0	ColonyNewVersionPairwise	allhalf	5	8	n	d.02m.02
afABaajh	10	30	30	14	14	20	0	0	ColonyNewVersionPairwise	allhalf	5	9	h	d.02m.02
afABaajl	10	36	36	21	21	31	0	0	ColonyNewVersionPairwise	allhalf	5	9	l	d.02m.02
