"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"1","afABaabh",5,"ColonyNewVersionPairwise",48,48,39,39,51,0,0,"allhalf",5,1,"h","d.02m.02",0.516666666666667
"2","afABaabh",10,"ColonyNewVersionPairwise",34,34,18,18,24,0,0,"allhalf",5,1,"h","d.02m.02",0.533333333333333
"3","afABaabh",15,"ColonyNewVersionPairwise",30,30,9,9,13,0,0,"allhalf",5,1,"h","d.02m.02",0.566666666666667
"4","afABaabh",20,"ColonyNewVersionPairwise",25,25,10,10,15,0,0,"allhalf",5,1,"h","d.02m.02",0.583333333333333
"5","afABaabh",25,"ColonyNewVersionPairwise",20,20,4,4,6,0,0,"allhalf",5,1,"h","d.02m.02",0.583333333333333
"6","afABaabl",5,"ColonyNewVersionPairwise",49,49,44,44,55,0,0,"allhalf",5,1,"l","d.02m.02",0.55
"7","afABaabl",10,"ColonyNewVersionPairwise",34,34,23,23,34,0,0,"allhalf",5,1,"l","d.02m.02",0.416666666666667
"8","afABaabl",15,"ColonyNewVersionPairwise",30,30,15,15,22,0,0,"allhalf",5,1,"l","d.02m.02",0.516666666666667
"9","afABaabl",20,"ColonyNewVersionPairwise",23,23,10,10,15,0,0,"allhalf",5,1,"l","d.02m.02",0.516666666666667
"10","afABaabl",25,"ColonyNewVersionPairwise",22,22,8,8,12,0,0,"allhalf",5,1,"l","d.02m.02",0.633333333333333
"11","afABaabn",5,"ColonyNewVersionPairwise",51,51,48,48,63,0,0,"allhalf",5,1,"n","d.02m.02",0.433333333333333
"12","afABaabn",10,"ColonyNewVersionPairwise",35,35,22,22,32,0,0,"allhalf",5,1,"n","d.02m.02",0.466666666666667
"13","afABaabn",15,"ColonyNewVersionPairwise",28,28,13,13,19,0,0,"allhalf",5,1,"n","d.02m.02",0.533333333333333
"14","afABaabn",20,"ColonyNewVersionPairwise",23,23,11,11,16,0,0,"allhalf",5,1,"n","d.02m.02",0.583333333333333
"15","afABaabn",25,"ColonyNewVersionPairwise",20,20,4,4,6,0,0,"allhalf",5,1,"n","d.02m.02",0.616666666666667
"16","afABaach",5,"ColonyNewVersionPairwise",45,45,39,39,50,0,0,"allhalf",5,2,"h","d.02m.02",0.516666666666667
"17","afABaach",10,"ColonyNewVersionPairwise",34,34,22,22,31,0,0,"allhalf",5,2,"h","d.02m.02",0.6
"18","afABaach",15,"ColonyNewVersionPairwise",27,27,13,13,18,0,0,"allhalf",5,2,"h","d.02m.02",0.566666666666667
"19","afABaach",20,"ColonyNewVersionPairwise",25,25,4,4,6,0,0,"allhalf",5,2,"h","d.02m.02",0.633333333333333
"20","afABaach",25,"ColonyNewVersionPairwise",22,22,9,9,13,0,0,"allhalf",5,2,"h","d.02m.02",0.666666666666667
"21","afABaacl",5,"ColonyNewVersionPairwise",47,47,43,43,57,0,0,"allhalf",5,2,"l","d.02m.02",0.466666666666667
"22","afABaacl",10,"ColonyNewVersionPairwise",36,36,23,23,32,0,0,"allhalf",5,2,"l","d.02m.02",0.55
