"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"1","afABaabh",5,"ColonyNewVersion",31,31,18,18,24,0,0,"allhalf",5,1,"h","d.02m.02",2.7
"2","afABaabh",10,"ColonyNewVersion",20,20,4,4,6,0,0,"allhalf",5,1,"h","d.02m.02",3.2
"3","afABaabh",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,1,"h","d.02m.02",4.05
"4","afABaabh",20,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,1,"h","d.02m.02",5.01666666666667
"5","afABaabh",25,"ColonyNewVersion",6,6,2,2,3,0,0,"allhalf",5,1,"h","d.02m.02",5.5
"6","afABaabl",5,"ColonyNewVersion",37,37,17,17,25,0,0,"allhalf",5,1,"l","d.02m.02",2.76666666666667
"7","afABaabl",10,"ColonyNewVersion",15,15,4,4,6,0,0,"allhalf",5,1,"l","d.02m.02",3.56666666666667
"8","afABaabl",15,"ColonyNewVersion",12,12,2,2,3,0,0,"allhalf",5,1,"l","d.02m.02",3.91666666666667
"9","afABaabl",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,1,"l","d.02m.02",4.93333333333333
"10","afABaabl",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,1,"l","d.02m.02",5.51666666666667
"11","afABaabn",5,"ColonyNewVersion",31,31,23,23,33,0,0,"allhalf",5,1,"n","d.02m.02",2.53333333333333
"12","afABaabn",10,"ColonyNewVersion",19,19,6,6,9,0,0,"allhalf",5,1,"n","d.02m.02",3.4
"13","afABaabn",15,"ColonyNewVersion",10,10,2,2,3,0,0,"allhalf",5,1,"n","d.02m.02",3.91666666666667
"14","afABaabn",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,1,"n","d.02m.02",4.2
"15","afABaabn",25,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,1,"n","d.02m.02",5.06666666666667
"16","afABaach",5,"ColonyNewVersion",29,29,11,11,16,0,0,"allhalf",5,2,"h","d.02m.02",1.96666666666667
"17","afABaach",10,"ColonyNewVersion",18,18,4,4,6,0,0,"allhalf",5,2,"h","d.02m.02",3.18333333333333
"18","afABaach",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,2,"h","d.02m.02",3.48333333333333
"19","afABaach",20,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,2,"h","d.02m.02",5
"20","afABaach",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,2,"h","d.02m.02",4.85
"21","afABaacl",5,"ColonyNewVersion",33,33,16,16,22,0,0,"allhalf",5,2,"l","d.02m.02",2.13333333333333
"22","afABaacl",10,"ColonyNewVersion",17,17,2,2,3,0,0,"allhalf",5,2,"l","d.02m.02",3.25
